ICDId;ICDCode;ICDName;ICDNameTranslated
47;A06.3;Ameboma, bağırsakta;Amoeboma in the gut
48;A06.4;Amipli karaciğer apsesi;Amoebic liver abscess
49;A06.5†;Amipli akciğer apsesi (J99.8*);Amoebic lung abscess (J99.8 *)
50;A06.6†;Amipli beyin apsesi (G07*);Amoebic brain abscess (G07 *)
51;A06.7;Kutanöz amebiyaz;Cutaneous amebiasis
52;A06.8;Amip enfeksiyonu, başka bölgelerin;Amoeba infection of other sites
53;A06.9;Amebiyaz, tanımlanmamış;Amebiasis, unspecified
54;A07;Protozoal diğer barsak hastalıkları;Other protozoal intestinal diseases
55;A07.0;Balantidiyaz;Balantidiyaz
56;A07.1;Giardiaz [lambliaz];Giardiasis [lambliaz]
57;A07.2;Kriptosporidiyoz;cryptosporidiosis
58;A07.3;İzosporiyaz;İzosporiyaz
59;A07.8;Barsağın protozoal diğer tanımlanmış hastalıkları;Other specified protozoal intestinal diseases
60;A07.9;Barsağın protozoal hastalığı, tanımlanmamış;Protozoal intestinal disease, unspecified
61;A08;Viral ve diğer tanımlanmış barsak enfeksiyonları;Viral and other specified intestinal infections
62;A08.0;Rota virüs enteriti;Rotavirus enteritis
63;A08.1;Norwalk ajanına bağlı akut gastroenteropati;acute gastroenteropathy connected to the Norwalk agent
64;A08.2;Adenovirüs enteriti;Adenovirus-enteritis
65;A08.3;Viral enteritler, diğer;Viral enteritis, other
66;A08.4;Viral barsak enfeksiyonu, tanımlanmamış;Viral intestinal infection, unspecified
67;A08.5;Barsak enfeksiyonları diğer, tanımlanmış;Intestinal infections, other specified
68;A09;Diyare ve gastroenterit, enfeksiyöz kaynaklı olduğu tahmin edilen;Diarrhea and gastroenteritis, which is estimated to be infectious origin
69;A15;Solunum yolları tüberkülozu, bakteriyolojik ve histolojik olarak onaylanmış;Respiratory tuberculosis, bacteriologically and histologically confirmed
70;A15.0;Akciğer tüberkülozu, kültürlü ya da kültürsüz balgam mikroskopisi ile kanıtlanmış ;Pulmonary tuberculosis, sputum microscopy proven with or without culture 
71;A15.1;Akciğer tüberkülozu, sadece kültürle kanıtlanmış;Pulmonary tuberculosis, only proven culture
72;A15.2;Akciğer tüberkülozu, histolojik olarak kanıtlanmış;Tuberculosis of lung, confirmed histologically
73;A15.3;Akciğer tüberkülozu, tanımlanmamış yolla kanıtlanmış;Tuberculosis of lung, confirmed by unspecified means
74;A15.4;İntratorasik lenf nodu tüberkülozu, bakteriyolojik ve histolojik olarak kanıtlanmış;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
75;A15.5;Larinks, trakea ve bronş tüberkülozu, bakteriyolojik ve histolojik olarak kanıtlanmış;Larynx, trachea and bronchi tuberculosis, confirmed bacteriologically and histologically
76;A15.6;Tüberküloz plörezi, bakteriyolojik ve histolojik olarak kanıtlanmış;Tuberculosis, proven by bacteriological and histological
77;A15.7;Primer solunum yolları tüberkülozu, bakteriyolojik ve histolojik olarak kanıtlanmış;Primary respiratory tuberculosis, confirmed bacteriologically and histologically
78;A15.8;Solunum yolları diğer tüberkülozu, bakteriyolojik ve histolojik olarak kanıtlanmış;Other respiratory tuberculosis, confirmed bacteriologically and histologically
79;A15.9;Solunum yolları tüberkülozu tanımlanmamış, bakteriyolojik ve histolojik olarak kanıtlanmış;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
80;A16;Solunum yolları tüberkülozu, bakteriyolojik ve histolojik olarak onaylanmamış;Respiratory tuberculosis, bacteriological and histological approved
81;A16.0;Akciğer tüberkülozu, bakteriyolojik ve histolojik olarak negatif;Pulmonary tuberculosis, bacteriological and histologically negative
82;A16.1;Akciğer tüberkülozu, bakteriyolojik ve histolojik inceleme yapılmamış;Tuberculosis of lung, bacteriological and histological examination yet
83;A16.2;Akciğer tüberkülozu, bakteriyolojik ya da histolojik kanıt hakkında bilgi verilmemiş;Pulmonary tuberculosis, bacteriological or histological evidence not given information about
84;A16.3;İntratorasik lenf nodları tüberkülozu, bakteriyolojik ya da histolojik tanı konulmamış;Tuberculosis of intrathoracic lymph nodes, bacteriological or histological undiagnosed
85;A16.4;Larinks, trakea ve bronş tüberkülozu, bakteriyolojik ya da histolojik tanı konulmamış;Larynx, trachea and bronchi tuberculosis, bacteriological or histological undiagnosed
86;A16.5;Tüberküloz plörezi, bakteriyolojik ya da histolojik tanı konulmamış;Tuberculous pleurisy, bacteriological or histological undiagnosed
87;A16.7;Primer solunum yolları tüberkülozu, bakteriyolojik ya da histolojik tanı konulmamış;Primary respiratory tuberculosis, bacteriological or histological undiagnosed
88;A16.8;Primer solunum yolları diğer tüberkülozu, bakteriyolojik ya da histolojik tanı konulmamış;The other primary respiratory tuberculosis, bacteriological or histological undiagnosed
89;A16.9;Solunum yolları tüberkülozu, bakteriyolojik ya da histolojik tanı konulmamış;Respiratory tuberculosis, bacteriological or histological undiagnosed
90;A17.0† ;Tüberküloz menenjit (G01*);Tuberculous meningitis (G01 *)
91;A17.1†;Menenjial tüberkülom (G07*);Meningeal tuberculoma (G07 *)
92;A17.8†;Sinir sisteminin tüberkülozu, diğer ;tuberculosis of the nervous system, other 
93;A17.9†;Sinir sistemi tüberkülozu, tanımlanmamış (G99.8*);Tuberculosis of the nervous system, unspecified (G99.8 *)
94;A17†;Sinir sistemi tüberkülozu;Nervous system tuberculosis
95;A18;Organların tüberkülozu, diğer;Tuberculosis of other organs
96;A18.0†;Kemik ve eklem tüberkülozu;Bone and joint tuberculosis
97;A18.1†;Ürogenital sistem tüberkülozu;Tuberculosis of genitourinary system
98;A18.2;Tüberküloz periferik lenfadenopati;Tuberculosis peripheral lymphadenopathy
99;A18.3;Bağırsak, periton ve mezenterik lenf bezi tüberkülozu;Intestines, peritoneum and mesenteric lymph node tuberculosis
100;A18.4;Deri ve derialtı dokusu tüberkülozu;Skin and subcutaneous tissue tuberculosis
101;A18.5†;Göz tüberkülozu;Eye tuberculosis
102;A18.6†;Kulak tüberkülozu;Ear tuberculosis
103;A18.7†;Adrenal bezlerin tüberkülozu (E35.1*);Tuberculosis of the adrenal glands (E35.1 *)
104;A18.8†;Tüberküloz, diğer tanımlanmış organların;Tuberculosis of other specified organs
105;A19;Miliyer tüberküloz;Miliary tuberculosis
106;A19.0;Akut miliyer tüberküloz, tanımlanmış tek bir yerin;Acute miliary tuberculosis, defined single location
107;A19.1;Akut miliyer tüberküloz, birden fazla yerin;Acute miliary tuberculosis, multiple locations
108;A19.2;Akut miliyer tüberküloz, tanımlanmamış;Acute miliary tuberculosis, unspecified
109;A19.8;Miliyer diğer tüberkülozlar;Other miliary tuberculosis
110;A19.9;Miliyer tüberküloz, tanımlanmamış;Miliary tuberculosis, unspecified
111;A20;Veba;Plague
112;A20.0;Bubonik veba;Bubonic plague
113;A20.1;Selülokutanöz veba;Selülokutanöz plague
114;A20.2;Pnömonik veba;pneumonic plague
115;A20.3;Veba menenjiti;Plague meningitis
116;A20.7;Septisemik veba;septicemic plague
117;A20.8;Veba, diğer formları;Plague, other forms of
118;A20.9;Veba, tanımlanmamış;Plague, unspecified
119;A21;Tularemi;tularemia
120;A21.0;Ülseroglandüler tularemi;Ulceroglandular tularemia
121;A21.1;Oküloglandüler tularemi;They were Okülogla tularemia
122;A21.2;Pulmoner tularemi;Pulmonary tularemia
123;A21.3;Gastrointestinal tularemi;Gastrointestinal tularemia
124;A21.7;Yaygın tularemi;Common tularemia
125;A21.8;Tularemi, diğer formları;Tularemia, other forms of
126;A21.9;Tularemi, tanımlanmamış;Tularemia, unspecified
127;A22;Şarbon;Anthrax
128;A22.0;Deri şarbonu;Cutaneous anthrax
129;A22.1;Pulmoner şarbon;Pulmonary anthrax
130;A22.2;Gastrointestinal şarbon;Gastrointestinal anthrax
131;A22.7;Şarbon septisemisi;Anthrax septicemia
132;A22.8;Şarbon türleri, diğer;Anthrax species, other
133;A22.9;Şarbon, tanımlanmamış;Anthrax, unspecified
134;A23;Bruselloz;Brucellosis
135;A23.0;Bruselloz, Brucella melitensis’e bağlı;Brucellosis due to Brucella melitensis
136;A23.1;Bruselloz, Brucella abortus’a bağlı;Brucellosis due to Brucella abortus
137;A23.2;Bruselloz, Brucella suis’e bağlı;Brucellosis due to Brucella suis
138;A23.3;Bruselloz, Brucella canis’e bağlı;Brucellosis due to Brucella canis
139;A23.8;Bruselloz, diğer;Brucellosis, other
140;A23.9;Bruselloz, tanımlanmamış;Brucellosis, unspecified
141;A24;Ruam ve melioidoz;Glanders and melioidosis
142;A24.0;Ruam;Glanders
143;A24.1;Akut ve fulminan melioidoz;Acute and fulminant melioidosis
144;A24.2;Subakut ve kronik melioidoz;Subacute and chronic melioidosis
145;A24.3;Melioidozlar, diğer;Other melioidosis
146;A24.4;Melioidoz, tanımlanmamış;Melioidosis, unspecified
147;A25;Sıçan ısırığı ateşi;Rat-bite fever
148;A25.0;Spirilloz;Spirilloz
149;A25.1;Streptobasilloz;Streptobasilloz
150;A25.9;Sıçan ısırığı ateşi, tanımlanmamış;Rat-bite fever, unspecified
151;A26;Erizipeloid;Erysipeloid
152;A26.0;Kutanöz erizipeloid;Cutaneous Erysipeloid
153;A26.7;Erysipelothrix septisemisi;Erysipelothrix septicemia
154;A26.8;Erizipeloid, diğer formları;Erysipeloid, other forms of
155;A26.9;Erizipeloid, tanımlanmamış;Erysipeloid, unspecified
156;A27;Leptospiroz;leptospirosis
157;A27.0;İkterohemorajik leptospiroz;İkterohemorajik leptospirosis
158;A27.8;Leptospiroz türleri, diğer formları;Leptospirosis species, other forms of
159;A27.9;Leptospiroz, tanımlanmamış;Leptospirosis, unspecified
160;A28;Zoonotik bakteriyel diğer hastalıklar, başka yerde sınıflanmamış;Other zoonotic bacterial diseases, not elsewhere classified
161;A28.0;Pastörelloz;pasturellosis
162;A28.1;Kedi tırmığı hastalığı;Cat scratch disease
163;A28.2;Ekstraintestinal yersinioz;extraintestinal yersinioz
164;A28.8;Zoonotik diğer bakteriyel hastalıklar tanımlanmış, başka yerde sınıflanmamış;Other specified zoonotic bacterial diseases, not elsewhere classified
165;A28.9;Zoonotik bakteriyel hastalık, tanımlanmamış;Zoonotic bacterial disease, unspecified
166;A30;Lepra [Hansen hastalığı];Leprosy [Hansen's disease]
167;A30.0;Belirsiz lepra;Indeterminate leprosy
168;A30.1;Tüberküloid lepra;Tuberculoid leprosy
169;A30.2;Sınırda tüberküloid lepra;Borderline tuberculoid leprosy
170;A30.3;Sınırda lepra;Borderline leprosy
171;A30.4;Sınırda lepramatöz lepra;Borderline lepromatous leprosy
172;A30.5;Lepramatöz lepra;Lepromatous leprosy
173;A30.8;Lepra, diğer formları;Leprosy, other forms of
174;A30.9;Lepra, tanımlanmamış;Leprosy, unspecified
175;A31;Diğer Mikobakteri türlerine bağlı enfeksiyon;Infection due to other mycobacteria
176;A31.0;Pulmoner mikobakteri enfeksiyonu;Pulmonary mycobacterial infection
177;A31.1;Kutanöz mikobakteri enfeksiyonu;Cutaneous mycobacterial infection
178;A31.8;Mikobakteri enfeksiyonları, diğer;Mycobacterial infections, other
179;A31.9;Mikobakteri enfeksiyonu, tanımlanmamış;Mycobacterial infection, unspecified
180;A32;Listerioz;Listeriosis
181;A32.0;Kutanöz listerioz;Cutaneous listeriosis
182;A32.1†;Listeria menenjiti ve meningoensefaliti;Listeria meningitis and meningoencephalitis
183;A32.7;Listeria septisemisi;Listeria septicemia
184;A32.8;Listerioz, diğer formları;Listeriosis, other forms of
185;A32.9;Listerioz, tanımlanmamış;Listeriosis, unspecified
186;A33;Yenidoğan tetanozu;Neonatal tetanus
187;A34;Gebelik tetanozu;Pregnancy tetanus
188;A35;Tetanoz, diğer;Other tetanus
189;A36;Difteri;Diphtheria
190;A36.0;Faringeal difteri;pharyngeal diphtheria
191;A36.1;Nazofaringeal difteri;nasopharyngeal diphtheria
192;A36.2;Laringeal difteri;laryngeal diphtheria
193;A36.3;Kutanöz difteri;Cutaneous diphtheria
194;A36.8;Difteri, diğer;Diphtheria, other
195;A36.9;Difteri, tanımlanmamış;Diphtheria, unspecified
196;A37;Boğmaca;pertussis
197;A37.0;Boğmaca, Bordetella pertussis’e bağlı;Whooping cough due to Bordetella pertussis
198;A37.1;Boğmaca, Bordetella parapertussis’e bağlı;Whooping cough due to Bordetella parapertussis
199;A37.8;Boğmaca, diğer Bordotella türlerine bağlı ;Whooping cough due to other Bordetella species 
200;A37.9;Boğmaca, tanımlanmamış;Whooping cough, unspecified
201;A38;Kızıl;Red
202;A39;Meningokok enfeksiyonu;Meningococcal infection
203;A39.0†;Meningokoksik menenjit (G0.1*);Meningococcal meningitis (G0.1 *)
204;A39.1†;Waterhouse-Friderichsen sendromu (E35.1*);Waterhouse-Friderichsen syndrome (E35.1 *)
205;A39.2;Akut meningokoksemi;Acute meningococcemia
206;A39.3;Kronik meningokoksemi;Chronic meningococcemia
207;A39.4;Meningokoksemi, tanımlanmamış;Meningococcemia, unspecified
208;A39.5†;Meningokoksik kalp hastalığı;Meningococcal heart disease
209;A39.8;Meningokoksik diğer enfeksiyonlar;Other meningococcal infections
210;A39.9;Meningokok enfeksiyonu, tanımlanmamış;Meningococcal infection, unspecified
211;A40;Streptokok septisemi;streptococcal septicemia
212;A40.0;Septisemi, A grubu streptokoklara bağlı;Sepsis, due to streptococcus group
213;A40.1;Septisemi, B grubu streptokoklara bağlı;Sepsis, due to streptococcus group B
214;A40.2;Septisemi, D grubu streptokoklara bağlı;Septicemia, D due to streptococcus
215;A40.3;Septisemi, Streptococcus pneumoniae;Sepsis, Streptococcus pneumoniae
216;A40.8;Streptokoksik septisemi, diğer;Streptococcal septicemia, other
217;A40.9;Streptokoksik septisemi, tanımlanmamış;Streptococcal septicemia, unspecified
218;A41;Septisemiler, diğer;Other septicemia
219;A41.0;Septisemi, Staphylococcus aureus;Septicemia, Staphylococcus aureus
220;A41.1;Septisemi, diğer tanımlanmış Staphylococcus;Sepsis, other specified Staphylococcus
221;A41.2;Septisemi, tanımlanmamış stafilokoklara bağlı;Septicemia due to unspecified staphylococcus
222;A41.3;Septisemi, Haemophilus influenza’ya bağlı;Septicemia, due to Haemophilus influenzae
223;A41.4;Septisemi, anaeorob bakterilere bağlı;Sepsis, due to bacterial anaeorob
224;A41.5;Septisemi, diğer Gram-negatif organizmalara bağlı;Septicemia due to other Gram-negative organisms
225;A41.8;Septisemi, diğer tanımlanmış;Sepsis, other specified
226;A41.9;Septisemi, tanımlanmamış;Septicemia, unspecified
227;A42;Aktinomikoz;Actinomycosis
228;A42.0;Pulmoner aktinomikoz;Pulmonary actinomycosis
229;A42.1;Abdominal aktinomikoz;Abdominal actinomycosis
230;A42.2;Servikofasiyal aktinomikoz;cervicofacial actinomycoses
231;A42.7;Aktinomikotik septisemi;actinomyotic septicemia
232;A42.8;Aktinomikoz, diğer formları;Actinomycosis, other forms of
233;A42.9;Aktinomikoz, tanımlanmamış;Actinomycosis, unspecified
234;A43;Nokardiyoz;nocardiosis
235;A43.0;Pulmoner nokardiyoz;Pulmonary nocardiosis
236;A43.1;Kutanöz nokardiyoz;Cutaneous nocardiosis
237;A43.8;Nokardiyoz, diğer formları;Nocardiosis, other forms of
238;A43.9;Nokardiyoz, tanımlanmamış;Nocardiosis, unspecified
239;A44;Bartonelloz;B. henselae
240;A44.0;Sistemik bartonelloz;Systemic B. henselae
241;A44.1;Kutanöz ve mükokutanöz bartonelloz;Cutaneous and mucocutaneous B. henselae
242;A44.8;Bartonelloz, diğer formları;B. henselae, other forms of
243;A44.9;Bartonelloz, tanımlanmamış;B. henselae, unspecified
244;A46;Erizipel;erysipelas
245;A48;Bakteriyel diğer hastalıklar, başka yerde sınıflanmamış;Other bacterial diseases, not elsewhere classified
246;A48.0;Gazlı gangren;Gas gangrene
247;A48.1;Lejyoner hastalığı;Legionnaires' disease
248;A48.2;Lejyoner hastalığı, pnömonik olmayan [Pontiac ateşi];Legionnaire's disease, non-pneumonic [Pontiac fever]
249;A48.3;Toksik şok sendromu;Toxic shock syndrome
250;A48.4;Brezilya purpurik ateşi;Brazilian purpuric fever
251;A48.8;Bakteriyel hastalıklar, diğer tanımlanmış;Bacterial diseases, other specified
252;A49;Bakteriyel enfeksiyon, tanımlanmamış bölgelerin;Bacterial infection of unspecified site
253;A49.0;Stafilokok enfeksiyonu, tanımlanmamış;Staphylococcal infection, unspecified
254;A49.1;Streptokok enfeksiyonu, tanımlanmamış;Streptococcal infection, unspecified
255;A49.2;Haemophilus influenzae enfeksiyonu, tanımlanmamış;Haemophilus influenzae infection, unspecified
256;A49.3;Mikoplazma enfeksiyonu, tanımlanmamış;Mycoplasma infection, unspecified
257;A49.8;Bakteriyel enfeksiyonlar, tanımlanmamış bölgelerdeki diğer;Bacterial infections, in other unspecified sites
258;A49.9;Bakteriyel enfeksiyon, tanımlanmamış;Bacterial infection, unspecified
259;A50;Konjenital sifiliz;Congenital syphilis
260;A50.0;Erken konjenital sifiliz, semptomatik;Early congenital syphilis, symptomatic
261;A50.1;Erken konjenital sifiliz, latent;Early congenital syphilis, latent
262;A50.2;Erken konjenital sifiliz, tanımlanmamış;Early congenital syphilis, unspecified
263;A50.3;Geç konjenital sifilitik okülopati;Late congenital syphilis is okülopat
264;A50.4;Geç konjenital nörosifiliz [juvenil nörosifiliz];Late congenital neurosyphilis [juvenile neurosyphilis]
265;A50.5;Geç diğer konjenital sifilizler, semptomatik;Other late congenital syphilis, symptomatic
266;A50.6;Geç konjenital sifiliz, latent;Late congenital syphilis, latent
267;A50.7;Geç konjenital sifiliz, tanımlanmamış;Late congenital syphilis, unspecified
268;A50.9;Konjenital sifiliz, tanımlanmamış;Congenital syphilis, unspecified
269;A51;Erken sifiliz;Early syphilis
270;A51.0;Primer genital sifiliz;Primary genital syphilis
271;A51.1;Primer anal sifiliz;Primary anal syphilis
272;A51.2;Primer sifiliz, diğer bölgelerde;Primary syphilis of other sites
273;A51.3;Sekonder sifiliz, deri ve muköz membranlarda;Secondary syphilis of skin and mucous membranes
274;A51.4;Sekonder sifiliz, diğer;Secondary syphilis, other
275;A51.5;Erken sifiliz, latent;Early syphilis, latent
276;A51.9;Erken sifiliz, tanımlanmamış;Early syphilis, unspecified
277;A52;Geç sifiliz;late syphilis
278;A52.0† ;Kardiyovasküler sifiliz;Cardiovascular syphilis
279;A52.1;Nörosifiliz, semptomatik;Syphilis, symptomatic
280;A52.2;Nörosifiliz, asemptomatik;Neurosyphilis, asymptomatic
281;A52.3;Nörosifiliz, tanımlanmamış;Syphilis, unspecified
282;A52.7;Semptomatik geç sifiliz, diğer;Symptomatic late syphilis other
283;A52.8;Geç sifiliz, latent;Late syphilis, latent
284;A52.9;Geç sifiliz, tanımlanmamış;Late syphilis, unspecified
285;A53;Sifiliz, diğer ve tanımlanmamış;Syphilis, other and unspecified
286;A53.0;Latent sifiliz, erken ya da geç olarak tanımlanmamış;Latent syphilis, unspecified as early or late
287;A53.9;Sifiliz, tanımlanmamış;Syphilis, unspecified
288;A54;Gonokok enfeksiyonu;Gonococcal infection
289;A54.0;Gonokok enfeksiyonu, alt ürogenital yollarda periüretral ya da aksesuar bez apsesi yok;Gonococcal infection of lower genitourinary tract no periurethral or accessory gland abscess
290;A54.1;Gonokok enfeksiyonu, alt ürogenital yollarda periüretral ya da aksesuar ;Gonococcal infection of lower genitourinary tract periurethral or accessory 
291;A54.2†;Gonokoksik pelviperitonit ve diğer gonokoksik ürogenital enfeksiyonlar;Gonococcal urogenital gonococcal infections and other pelviperitonitis
292;A54.3;Gonokoksik göz enfeksiyonu;Gonococcal infection of eye
293;A54.4†;Gonokok enfeksiyonu, kas-iskelet sistemi;Gonococcal infections, muscle-skeletal system
294;A54.5;Gonokoksik farenjit;gonococcal pharyngitis
295;A54.6;Anüs ve rektumun gonokok enfeksiyonu;gonococcal infection of the anus and rectum
296;A54.8;Gonokok enfeksiyonları, diğer;Gonococcal infections other
297;A54.9;Gonokok enfeksiyonu, tanımlanmamış;Gonococcal infection, unspecified
298;A55;Klamidyal lenfogranüloma (venereum);Chlamydial lymphogranuloma (venereum)
299;A56;Cinsel yolla bulaşan diğer klamidyal hastalıklar;Other sexually transmitted chlamydial diseases
300;A56.0;Alt ürogenital yolda klamidya enfeksiyonu;Lower urogenital tract chlamydial infection
301;A56.1†;Pelviperiton ve diğer ürogenital organ klamidya enfeksiyonu;Pelviperito and other organs of the urogenital chlamydia infection
302;A56.2;Klamidya enfeksiyonu, ürogenital yol tanımlanmamış;Chlamydia infection, urogenital tract unspecified
303;A56.3;Anüs ve rektumun klamidya enfeksiyonu;Chlamydia infection of the anus and rectum
304;A56.4;Farinksin klamidya enfeksiyonu ;Pharynx chlamydia 
305;A56.8;Klamidya enfeksiyonu, diğer bölgelerde, cinsel yolla bulaşan;Chlamydia infection, in other regions, sexually transmitted
306;A57;Şankroid;chancroid
307;A58;Granüloma inguinale;Granuloma inguinal
308;A59;Trikomoniaz;Trikomoniaz
309;A59.0;Ürogenital trikomoniaz;Urogenital trikomoniaz
310;A59.8;Trikomoniaz, diğer bölgelerde;Trikomoniaz in other regions
311;A59.9;Trikomoniaz, tanımlanmamış;Trikomoniaz, unspecified
312;A60;Anogenital herpes virüs [herpes simpleks] enfeksiyonu;Anogenital herpes virus [herpes simplex] infection
313;A60.0;Herpes virüs enfeksiyonu, genital bölgeler ve ürogenital yollarda;Herpes virus infection, genital area and the urogenital roads
314;A60.1;Perianal deri ve rektumun herpes virüs enfeksiyonu;herpes virus infection of perianal skin and rectum
315;A60.9;Anogenital herpes virüs enfeksiyonu, tanımlanmamış;Anogenital herpes virus infection, unspecified
316;A63;Cinsel temasla bulaşan diğer hastalıklar, başka yerde sınıflanmamış;other sexually transmitted diseases, not elsewhere classified
317;A63.0;Anogenital (veneryal) Siğiller;Anogenital (venereal) warts
318;A63.8;Cinsel temasla bulaşan hastalıklar, diğer tanımlanmış;Sexually transmitted diseases, other specified
319;A64;Cinsel yolla bulaşan hastalık, tanımlanmamış;Sexually transmitted disease
320;A65;Zührevi olmayan sifiliz;Non-venereal syphilis
321;A66;Yaws;yaws
322;A66.0;Yaws başlangıç lezyonları;Initial lesions of yaws
323;A66.1;Multipl papillomlar ve ıslak crab yaws;Multiple papillomas and wet crab yaws
324;A66.2;Yaws, diğer erken deri lezyonları;Yaws Other early skin lesions
325;A66.3;Yaws hiperkeratozu;Yaws hyperkeratosis
326;A66.4;Yaws gumma ve ülserleri;Gums and ulcers of yaws
327;A66.5;Gangosa;Gangos to
328;A66.6;Yaws, kemik ve eklem lezyonları;Yaws, bone and joint lesions
329;A66.7;Yaws, diğer şekilleri;Yaws other forms
330;A66.8;Latent yaws;Latent yaws
331;A66.9;Yaws, tanımlanmamış;Yaws, unspecified
332;A67;Pinta [carate];Pinta [carate]
333;A67.0;Primer pinta lezyonları;Primary pinta lesions
334;A67.1;Pinta ara dönem lezyonları;interim lesions of pinta
335;A67.2;Pinta geç lezyonları;Lesions of pinta
336;A67.3;Pinta karışık lezyonları;Mixed lesions of pinta
337;A67.9;Pinta, tanımlanmamış;Pinta, unspecified
338;A68;Nükseden ateşler;Relapsing fever
339;A68.0;Nükseden ateş, bitle taşınan;Relapsing fever, Tick-borne
340;A68.1;Nükseden ateş, kene ile taşınan;Relapsing fever, tick-borne
341;A68.9;Nükseden ateş, tanımlanmamış;Relapsing fever, unspecified
342;A69;Spiroketal diğer enfeksiyonları;Other spirochetal infections
343;A69.0;Nekrotizan ülseratif stomatit;Necrotizing ulcerative stomatitis
344;A69.1;Vincent enfeksiyonları, diğer;Vincent's infections, other
345;A69.2;Lyme hastalığı;Lyme disease
346;A69.8;Spiroket enfeksiyonları, diğer tanımlanmış;Spirochetes infections, other specified
347;A69.9;Spiroket enfeksiyonu, tanımlanmamış;Spirochetes infection, unspecified
348;A70;Klamidya psittaci enfeksiyonu;Chlamydia psittaci infection
349;A71;Trahom;Trachoma
350;A71.0;Trahom başlangıç dönemi;Initial stage of trachoma
351;A71.1;Trahom aktif dönemi;Trachoma active period
352;A71.9;Trahom, tanımlanmamış;Trachoma, unspecified
